# Molecular kinetic energy data (excluding photon particle)
# time(ps) timestep kinetic_energy(a.u.) temperature(K) avg_vel_magnitude(a.u.)
0.019334 572 3.690645 1553.792410 0.000667
0.019368 573 3.667260 1543.947037 0.000665
0.019402 574 3.644090 1534.192070 0.000663
0.019436 575 3.620833 1524.400904 0.000661
0.019470 576 3.597634 1514.634013 0.000659
0.019504 577 3.574500 1504.894184 0.000657
0.019538 578 3.551735 1495.309879 0.000655
0.019572 579 3.529079 1485.771454 0.000653
0.019606 580 3.506426 1476.234494 0.000651
0.019640 581 3.484033 1466.806887 0.000648
0.019674 582 3.462099 1457.572656 0.000646
0.019707 583 3.439919 1448.234556 0.000643
0.019741 584 3.417970 1438.993790 0.000641
0.019775 585 3.396203 1429.829880 0.000638
0.019809 586 3.374779 1420.810099 0.000635
0.019843 587 3.353576 1411.883336 0.000632
0.019877 588 3.332546 1403.029387 0.000630
0.019911 589 3.311969 1394.366423 0.000627
0.019945 590 3.291591 1385.787204 0.000624
0.019979 591 3.271601 1377.371375 0.000620
0.020013 592 3.251602 1368.951439 0.000617
0.020047 593 3.232154 1360.763833 0.000614
0.020081 594 3.213201 1352.784222 0.000611
0.020114 595 3.194259 1344.809733 0.000607
0.020148 596 3.175622 1336.963099 0.000604
0.020182 597 3.157320 1329.258128 0.000600
0.020216 598 3.139202 1321.630168 0.000596
0.020250 599 3.121595 1314.217352 0.000593
0.020284 600 3.104511 1307.024767 0.000589
0.020318 601 3.087773 1299.978193 0.000585
0.020352 602 3.071260 1293.026197 0.000581
0.020386 603 3.055206 1286.267100 0.000577
0.020420 604 3.039503 1279.656068 0.000573
0.020454 605 3.024226 1273.224273 0.000569
0.020488 606 3.009379 1266.973627 0.000564
0.020521 607 2.994984 1260.912970 0.000560
0.020555 608 2.980869 1254.970811 0.000556
0.020589 609 2.967044 1249.150099 0.000551
0.020623 610 2.953993 1243.655422 0.000547
0.020657 611 2.941202 1238.270428 0.000542
0.020691 612 2.928685 1233.000621 0.000538
0.020725 613 2.916719 1227.963064 0.000533
