# CORRECTED Energy tracking following working EnergyContributionTracker pattern
# Output period: 10 steps
# All energies in Hartree (atomic units)
# Column definitions:
#   time(ps): simulation time in picoseconds
#   timestep: simulation timestep number
#   harmonic_energy: harmonic bond potential energy
#   lj_energy: Lennard-Jones potential energy
#   ewald_short_energy: short-range Coulomb energy
#   ewald_long_energy: long-range Coulomb energy
#   cavity_harmonic_energy: cavity harmonic potential energy
#   cavity_coupling_energy: cavity-molecule coupling energy
#   cavity_dipole_self_energy: dipole self-energy
#   cavity_total_potential_energy: total cavity potential energy
#   molecular_kinetic_energy: molecular kinetic energy
#   cavity_kinetic_energy: cavity kinetic energy
#   total_kinetic_energy: total kinetic energy
#   total_potential_energy: total potential energy
#   system_total_energy: total system energy (KE + PE)
#   molecular_reservoir_energy: molecular reservoir energy
#   cavity_reservoir_energy: cavity reservoir energy
#   total_reservoir_energy: total reservoir energy
#   universe_total_energy: universe total energy (system + reservoir) [CONSERVED]
#   temperature: kinetic temperature (K)
time(ps) timestep harmonic_energy lj_energy ewald_short_energy ewald_long_energy cavity_harmonic_energy cavity_coupling_energy cavity_dipole_self_energy cavity_total_potential_energy molecular_kinetic_energy cavity_kinetic_energy total_kinetic_energy total_potential_energy system_total_energy molecular_reservoir_energy cavity_reservoir_energy total_reservoir_energy universe_total_energy temperature
0.011783 930 2.012698 -0.695557 -0.349805 -0.415022 5.617388 -15.394778 10.547588 0.770197 2.165852 5.856863 8.022715 1.322512 9.345227 0.004655 0.016815 0.021470 9.366697 303.947302
0.011887 940 2.061591 -0.694910 -0.350157 -0.415431 5.179832 -14.883845 10.691924 0.987911 2.075692 5.680196 7.755887 1.589004 9.344892 0.004597 0.017291 0.021889 9.366780 291.294487
0.011991 950 2.105966 -0.694294 -0.350487 -0.415815 4.767810 -14.372276 10.831141 1.226676 1.986918 5.485832 7.472750 1.872046 9.344795 0.004510 0.017337 0.021847 9.366642 278.836283
0.012094 960 2.145651 -0.693711 -0.350793 -0.416175 4.380673 -13.861265 10.964988 1.484396 1.900247 5.275349 7.175596 2.169367 9.344963 0.004435 0.017379 0.021814 9.366777 266.673242
0.012198 970 2.180493 -0.693164 -0.351075 -0.416509 4.017761 -13.352056 11.093200 1.758906 1.816385 5.049620 6.866006 2.478650 9.344656 0.004411 0.017683 0.022094 9.366750 254.904438
0.012301 980 2.210358 -0.692653 -0.351333 -0.416817 3.678370 -12.845875 11.215499 2.047995 1.736004 4.811307 6.547311 2.797548 9.344859 0.004506 0.017394 0.021900 9.366759 243.623970
0.012405 990 2.235134 -0.692182 -0.351566 -0.417098 3.361775 -12.343985 11.331601 2.349391 1.659618 4.561057 6.220675 3.123678 9.344353 0.004922 0.017374 0.022296 9.366649 232.904302
0.012508 1000 2.254732 -0.691753 -0.351772 -0.417351 3.067210 -11.847641 11.441223 2.660792 1.588601 4.300924 5.889525 3.454648 9.344173 0.004983 0.017563 0.022545 9.366718 222.938093
0.012612 1010 2.269089 -0.691368 -0.351951 -0.417576 2.793936 -11.358209 11.544078 2.979805 1.523385 4.032636 5.556020 3.788000 9.344020 0.004934 0.017837 0.022771 9.366791 213.785881
0.012716 1020 2.278163 -0.691028 -0.352102 -0.417771 2.541158 -10.877007 11.639856 3.304008 1.464293 3.758422 5.222715 4.121270 9.343985 0.005118 0.017685 0.022802 9.366787 205.493218
