# Material time functions for all couplings (staging adapter output)
# Criterion: F(k,t) = 0.1, corrected least-squares reconstruction
# Each column pair is (time_ps, xi) for one coupling.
#
t_0_ps xi_0 t_0p01_ps xi_0p01 t_0p016667_ps xi_0p016667 t_0p023333_ps xi_0p023333 t_0p03_ps xi_0p03
8.536230e+01 7.231357e-01 8.538918e+01 4.258322e-02 8.528427e+01 3.448527e-01 8.540671e+01 1.809293e-01 8.542123e+01 9.722390e-02
8.654789e+01 7.329842e-01 8.657514e+01 4.573279e-02 8.646877e+01 3.496357e-01 8.659291e+01 1.834533e-01 8.660764e+01 9.856815e-02
8.773348e+01 7.428328e-01 8.776110e+01 4.888236e-02 8.765327e+01 3.544187e-01 8.777911e+01 1.859774e-01 8.779404e+01 9.991241e-02
8.891907e+01 7.526813e-01 8.894706e+01 5.203193e-02 8.883778e+01 3.592017e-01 8.896532e+01 1.885014e-01 8.898045e+01 1.012567e-01
9.010466e+01 7.625298e-01 9.013302e+01 5.518150e-02 9.002228e+01 3.639848e-01 9.015152e+01 1.910255e-01 9.016685e+01 1.026009e-01
9.129024e+01 7.723783e-01 9.131898e+01 5.833107e-02 9.120679e+01 3.687678e-01 9.133773e+01 1.935495e-01 9.135326e+01 1.039452e-01
9.247583e+01 7.820146e-01 9.250494e+01 6.426323e-02 9.239129e+01 3.735436e-01 9.252393e+01 1.960857e-01 9.253967e+01 1.052828e-01
9.366142e+01 7.911403e-01 9.369090e+01 7.689390e-02 9.357579e+01 3.783022e-01 9.371014e+01 1.986511e-01 9.372607e+01 1.066045e-01
9.484701e+01 8.002659e-01 9.487686e+01 8.952457e-02 9.476030e+01 3.830608e-01 9.489634e+01 2.012164e-01 9.491248e+01 1.079262e-01
9.603259e+01 8.093915e-01 9.606282e+01 1.021552e-01 9.594480e+01 3.878193e-01 9.608254e+01 2.037818e-01 9.609888e+01 1.092479e-01
9.721818e+01 8.185172e-01 9.724878e+01 1.147859e-01 9.712930e+01 3.925779e-01 9.726875e+01 2.063472e-01 9.728529e+01 1.105697e-01
9.840377e+01 8.276428e-01 9.843474e+01 1.274166e-01 9.831381e+01 3.973365e-01 9.845495e+01 2.089125e-01 9.847169e+01 1.118914e-01
9.958936e+01 8.367684e-01 9.962070e+01 1.400473e-01 9.949831e+01 4.020950e-01 9.964116e+01 2.114779e-01 9.965810e+01 1.132131e-01
1.007749e+02 8.458941e-01 1.008067e+02 1.526779e-01 1.006828e+02 4.068536e-01 1.008274e+02 2.140432e-01 1.008445e+02 1.145348e-01
1.019605e+02 8.550197e-01 1.019926e+02 1.653086e-01 1.018673e+02 4.116121e-01 1.020136e+02 2.166086e-01 1.020309e+02 1.158565e-01
1.031461e+02 8.641453e-01 1.031786e+02 1.779393e-01 1.030518e+02 4.163707e-01 1.031998e+02 2.191740e-01 1.032173e+02 1.171782e-01
1.043317e+02 8.732709e-01 1.043645e+02 1.905699e-01 1.042363e+02 4.211293e-01 1.043860e+02 2.217393e-01 1.044037e+02 1.184999e-01
1.055173e+02 8.823966e-01 1.055505e+02 2.032006e-01 1.054208e+02 4.258878e-01 1.055722e+02 2.243047e-01 1.055901e+02 1.198216e-01
1.067029e+02 8.915222e-01 1.067365e+02 2.158313e-01 1.066053e+02 4.306464e-01 1.067584e+02 2.268701e-01 1.067765e+02 1.211434e-01
1.078885e+02 9.006478e-01 1.079224e+02 2.284619e-01 1.077898e+02 4.354050e-01 1.079446e+02 2.294354e-01 1.079629e+02 1.224651e-01
1.090741e+02 9.097735e-01 1.091084e+02 2.410926e-01 1.089743e+02 4.401635e-01 1.091308e+02 2.320008e-01 1.091493e+02 1.237868e-01
1.102596e+02 9.188991e-01 1.102944e+02 2.537233e-01 1.101588e+02 4.449221e-01 1.103170e+02 2.345661e-01 1.103358e+02 1.251085e-01
1.114452e+02 9.280247e-01 1.114803e+02 2.663540e-01 1.113433e+02 4.496806e-01 1.115032e+02 2.371315e-01 1.115222e+02 1.264302e-01
1.126308e+02 9.371504e-01 1.126663e+02 2.789846e-01 1.125279e+02 4.544392e-01 1.126894e+02 2.396969e-01 1.127086e+02 1.277519e-01
1.138164e+02 9.462760e-01 1.138522e+02 2.916153e-01 1.137124e+02 4.591978e-01 1.138756e+02 2.422622e-01 1.138950e+02 1.290736e-01
1.150020e+02 9.554016e-01 1.150382e+02 3.042460e-01 1.148969e+02 4.639563e-01 1.150618e+02 2.448276e-01 1.150814e+02 1.303954e-01
1.161876e+02 9.645273e-01 1.162242e+02 3.168766e-01 1.160814e+02 4.687149e-01 1.162480e+02 2.473930e-01 1.162678e+02 1.317171e-01
1.173732e+02 9.736529e-01 1.174101e+02 3.295073e-01 1.172659e+02 4.734735e-01 1.174342e+02 2.499583e-01 1.174542e+02 1.330388e-01
1.185588e+02 9.827785e-01 1.185961e+02 3.421380e-01 1.184504e+02 4.782320e-01 1.186204e+02 2.525237e-01 1.186406e+02 1.343605e-01
1.197443e+02 9.919042e-01 1.197820e+02 3.547686e-01 1.196349e+02 4.829906e-01 1.198066e+02 2.550890e-01 1.198270e+02 1.356822e-01
1.209299e+02 1.001030e+00 1.209680e+02 3.673993e-01 1.208194e+02 4.877492e-01 1.209928e+02 2.576544e-01 1.210134e+02 1.370039e-01
1.221155e+02 1.010155e+00 1.221540e+02 3.800300e-01 1.220039e+02 4.925077e-01 1.221790e+02 2.602198e-01 1.221998e+02 1.383256e-01
1.233011e+02 1.019281e+00 1.233399e+02 3.926607e-01 1.231884e+02 4.972663e-01 1.233652e+02 2.627851e-01 1.233862e+02 1.396474e-01
1.244867e+02 1.028407e+00 1.245259e+02 4.052913e-01 1.243729e+02 5.020248e-01 1.245514e+02 2.653505e-01 1.245726e+02 1.409691e-01
1.256723e+02 1.037532e+00 1.257118e+02 4.179220e-01 1.255574e+02 5.067834e-01 1.257377e+02 2.679158e-01 1.257590e+02 1.422908e-01
1.268579e+02 1.046658e+00 1.268978e+02 4.305527e-01 1.267419e+02 5.115420e-01 1.269239e+02 2.704812e-01 1.269454e+02 1.436125e-01
1.280435e+02 1.055784e+00 1.280838e+02 4.431833e-01 1.279264e+02 5.163005e-01 1.281101e+02 2.730466e-01 1.281318e+02 1.449342e-01
1.292290e+02 1.064909e+00 1.292697e+02 4.558140e-01 1.291109e+02 5.210591e-01 1.292963e+02 2.756119e-01 1.293182e+02 1.462559e-01
1.304146e+02 1.074035e+00 1.304557e+02 4.684447e-01 1.302954e+02 5.258177e-01 1.304825e+02 2.781773e-01 1.305047e+02 1.475776e-01
1.316002e+02 1.083160e+00 1.316416e+02 4.810753e-01 1.314799e+02 5.305762e-01 1.316687e+02 2.807427e-01 1.316911e+02 1.488994e-01
1.327858e+02 1.092286e+00 1.328276e+02 4.937060e-01 1.326644e+02 5.353348e-01 1.328549e+02 2.833080e-01 1.328775e+02 1.502211e-01
1.339714e+02 1.101412e+00 1.340136e+02 5.063367e-01 1.338489e+02 5.400933e-01 1.340411e+02 2.858734e-01 1.340639e+02 1.515428e-01
1.351570e+02 1.110537e+00 1.351995e+02 5.189674e-01 1.350334e+02 5.448519e-01 1.352273e+02 2.884387e-01 1.352503e+02 1.528645e-01
1.363426e+02 1.119663e+00 1.363855e+02 5.315980e-01 1.362179e+02 5.496105e-01 1.364135e+02 2.910041e-01 1.364367e+02 1.541862e-01
1.375282e+02 1.128789e+00 1.375714e+02 5.442287e-01 1.374024e+02 5.543690e-01 1.375997e+02 2.935695e-01 1.376231e+02 1.555079e-01
1.387137e+02 1.137497e+00 1.387574e+02 5.631202e-01 1.385869e+02 5.591115e-01 1.387859e+02 2.961621e-01 1.388095e+02 1.568148e-01
1.398993e+02 1.145675e+00 1.399434e+02 5.899725e-01 1.397714e+02 5.638333e-01 1.399721e+02 2.987894e-01 1.399959e+02 1.581027e-01
1.410849e+02 1.153853e+00 1.411293e+02 6.168248e-01 1.409559e+02 5.685552e-01 1.411583e+02 3.014168e-01 1.411823e+02 1.593906e-01
1.422705e+02 1.162030e+00 1.423153e+02 6.436772e-01 1.421404e+02 5.732771e-01 1.423445e+02 3.040441e-01 1.423687e+02 1.606785e-01
1.434561e+02 1.170208e+00 1.435013e+02 6.705295e-01 1.433249e+02 5.779990e-01 1.435307e+02 3.066714e-01 1.435551e+02 1.619664e-01
1.446417e+02 1.178386e+00 1.446872e+02 6.973818e-01 1.445095e+02 5.827208e-01 1.447169e+02 3.092987e-01 1.447415e+02 1.632543e-01
1.458273e+02 1.186564e+00 1.458732e+02 7.242341e-01 1.456940e+02 5.874427e-01 1.459031e+02 3.119261e-01 1.459279e+02 1.645422e-01
1.470129e+02 1.194742e+00 1.470591e+02 7.510864e-01 1.468785e+02 5.921646e-01 1.470893e+02 3.145534e-01 1.471143e+02 1.658301e-01
1.481984e+02 1.202919e+00 1.482451e+02 7.779388e-01 1.480630e+02 5.968865e-01 1.482755e+02 3.171807e-01 1.483007e+02 1.671180e-01
1.493840e+02 1.211097e+00 1.494311e+02 8.047911e-01 1.492475e+02 6.016083e-01 1.494617e+02 3.198080e-01 1.494872e+02 1.684059e-01
1.505696e+02 1.219275e+00 1.506170e+02 8.316434e-01 1.504320e+02 6.063302e-01 1.506479e+02 3.224354e-01 1.506736e+02 1.696938e-01
1.517552e+02 1.227453e+00 1.518030e+02 8.584957e-01 1.516165e+02 6.110521e-01 1.518341e+02 3.250627e-01 1.518600e+02 1.709817e-01
1.529408e+02 1.235631e+00 1.529889e+02 8.853480e-01 1.528010e+02 6.157740e-01 1.530203e+02 3.276900e-01 1.530464e+02 1.722697e-01
1.541264e+02 1.243809e+00 1.541749e+02 9.122004e-01 1.539855e+02 6.204958e-01 1.542066e+02 3.303173e-01 1.542328e+02 1.735576e-01
1.553120e+02 1.251986e+00 1.553609e+02 9.390527e-01 1.551700e+02 6.252177e-01 1.553928e+02 3.329447e-01 1.554192e+02 1.748455e-01
1.564976e+02 1.260164e+00 1.565468e+02 9.659050e-01 1.563545e+02 6.299396e-01 1.565790e+02 3.355720e-01 1.566056e+02 1.761334e-01
1.576831e+02 1.268342e+00 1.577328e+02 9.927573e-01 1.575390e+02 6.346615e-01 1.577652e+02 3.381993e-01 1.577920e+02 1.774213e-01
1.588687e+02 1.276520e+00 1.589187e+02 1.019610e+00 1.587235e+02 6.393833e-01 1.589514e+02 3.408266e-01 1.589784e+02 1.787092e-01
1.600543e+02 1.284698e+00 1.601047e+02 1.046462e+00 1.599080e+02 6.441052e-01 1.601376e+02 3.434540e-01 1.601648e+02 1.799971e-01
1.612399e+02 1.292875e+00 1.612907e+02 1.073314e+00 1.610925e+02 6.488271e-01 1.613238e+02 3.460813e-01 1.613512e+02 1.812850e-01
1.624255e+02 1.301053e+00 1.624766e+02 1.100167e+00 1.622770e+02 6.535490e-01 1.625100e+02 3.487086e-01 1.625376e+02 1.825729e-01
1.636111e+02 1.309231e+00 1.636626e+02 1.127019e+00 1.634615e+02 6.582708e-01 1.636962e+02 3.513360e-01 1.637240e+02 1.838608e-01
1.647967e+02 1.317409e+00 1.648485e+02 1.153871e+00 1.646460e+02 6.629927e-01 1.648824e+02 3.539633e-01 1.649104e+02 1.851487e-01
1.659823e+02 1.325587e+00 1.660345e+02 1.180724e+00 1.658305e+02 6.677146e-01 1.660686e+02 3.565906e-01 1.660968e+02 1.864366e-01
1.671678e+02 1.333764e+00 1.672205e+02 1.207576e+00 1.670150e+02 6.724365e-01 1.672548e+02 3.592179e-01 1.672832e+02 1.877246e-01
1.683534e+02 1.341942e+00 1.684064e+02 1.234428e+00 1.681995e+02 6.771584e-01 1.684410e+02 3.618453e-01 1.684696e+02 1.890125e-01
1.695390e+02 1.350120e+00 1.695924e+02 1.261281e+00 1.693840e+02 6.818802e-01 1.696272e+02 3.644726e-01 1.696561e+02 1.903004e-01
1.707246e+02 1.358298e+00 1.707784e+02 1.288133e+00 1.705685e+02 6.866021e-01 1.708134e+02 3.670999e-01 1.708425e+02 1.915883e-01
1.719102e+02 1.366476e+00 1.719643e+02 1.314985e+00 1.717530e+02 6.913240e-01 1.719996e+02 3.697272e-01 1.720289e+02 1.928762e-01
1.730958e+02 1.374654e+00 1.731503e+02 1.341837e+00 1.729375e+02 6.960459e-01 1.731858e+02 3.723546e-01 1.732153e+02 1.941641e-01
1.742814e+02 1.382831e+00 1.743362e+02 1.368690e+00 1.741220e+02 7.007677e-01 1.743720e+02 3.749819e-01 1.744017e+02 1.954520e-01
