# Dipole autocorrelation data
# t0(ps) t(ps) C(t)
# Started at time 0.0 ps
0.000000 6.502000 1254.922846
0.000000 6.503000 1257.039400
0.000000 6.504000 1259.949706
0.000000 6.505000 1263.219452
0.000000 6.506000 1266.305168
0.000000 6.507000 1268.667376
0.000000 6.508000 1269.902583
0.000000 6.509000 1269.838801
0.000000 6.510000 1268.587422
0.000000 6.511000 1266.535735
0.000000 6.512000 1264.275650
0.000000 6.513000 1262.490341
0.000000 6.514000 1261.808163
0.000000 6.515000 1262.669636
0.000000 6.516000 1265.223608
0.000000 6.517000 1269.283246
0.000000 6.518000 1274.343922
0.000000 6.519000 1279.668714
0.000000 6.520000 1284.431770
0.000000 6.521000 1287.875129
0.000000 6.522000 1289.467127
0.000000 6.523000 1289.011469
0.000000 6.524000 1286.696632
0.000000 6.525000 1283.069936
0.000000 6.526000 1278.940614
0.000000 6.527000 1275.230039
0.000000 6.528000 1272.793009
0.000000 6.529000 1272.255932
0.000000 6.530000 1273.892510
0.000000 6.531000 1277.570602
0.000000 6.532000 1282.772243
0.000000 6.533000 1288.689596
0.000000 6.534000 1294.388640
0.000000 6.535000 1298.985651
0.000000 6.536000 1301.807214
0.000000 6.537000 1302.519418
0.000000 6.538000 1301.189176
0.000000 6.539000 1298.263455
0.000000 6.540000 1294.478476
0.000000 6.541000 1290.703010
0.000000 6.542000 1287.780887
0.000000 6.543000 1286.355582
0.000000 6.544000 1286.757487
0.000000 6.545000 1288.946372
0.000000 6.546000 1292.529969
0.000000 6.547000 1296.859382
0.000000 6.548000 1301.163215
0.000000 6.549000 1304.714881
0.000000 6.550000 1306.968592
0.000000 6.551000 1307.672954
0.000000 6.552000 1306.909892
0.000000 6.553000 1305.066285
0.000000 6.554000 1302.744319
0.000000 6.555000 1300.625017
0.000000 6.556000 1299.327172
0.000000 6.557000 1299.269279
0.000000 6.558000 1300.585736
0.000000 6.559000 1303.105704
0.000000 6.560000 1306.382634
0.000000 6.561000 1309.809383
0.000000 6.562000 1312.748519
0.000000 6.563000 1314.665877
0.000000 6.564000 1315.248818
0.000000 6.565000 1314.471018
0.000000 6.566000 1312.598301
0.000000 6.567000 1310.130280
0.000000 6.568000 1307.685268
0.000000 6.569000 1305.873809
0.000000 6.570000 1305.166272
0.000000 6.571000 1305.790374
0.000000 6.572000 1307.687453
0.000000 6.573000 1310.528248
0.000000 6.574000 1313.784535
0.000000 6.575000 1316.853335
0.000000 6.576000 1319.182912
0.000000 6.577000 1320.400758
0.000000 6.578000 1320.389984
0.000000 6.579000 1319.318936
0.000000 6.580000 1317.598417
0.000000 6.581000 1315.791326
0.000000 6.582000 1314.485122
0.000000 6.583000 1314.151639
0.000000 6.584000 1315.038523
0.000000 6.585000 1317.100155
0.000000 6.586000 1319.995638
0.000000 6.587000 1323.147838
0.000000 6.588000 1325.870814
0.000000 6.589000 1327.522569
0.000000 6.590000 1327.648362
0.000000 6.591000 1326.094569
0.000000 6.592000 1323.064611
0.000000 6.593000 1319.095154
0.000000 6.594000 1314.972653
0.000000 6.595000 1311.582510
0.000000 6.596000 1309.727439
0.000000 6.597000 1309.966146
0.000000 6.598000 1312.485418
0.000000 6.599000 1317.042221
0.000000 6.600000 1322.998268
0.000000 6.601000 1329.409601
0.000000 6.602000 1335.216221
0.000000 6.603000 1339.424567
0.000000 6.604000 1341.302792
0.000000 6.605000 1340.522874
0.000000 6.606000 1337.232614
0.000000 6.607000 1332.029294
0.000000 6.608000 1325.856711
0.000000 6.609000 1319.829461
0.000000 6.610000 1315.031990
0.000000 6.611000 1312.311259
0.000000 6.612000 1312.128015
0.000000 6.613000 1314.472600
0.000000 6.614000 1318.868223
0.000000 6.615000 1324.472921
0.000000 6.616000 1330.252290
0.000000 6.617000 1335.166547
0.000000 6.618000 1338.377105
0.000000 6.619000 1339.402288
0.000000 6.620000 1338.201229
0.000000 6.621000 1335.168350
0.000000 6.622000 1331.046117
0.000000 6.623000 1326.770591
0.000000 6.624000 1323.282868
0.000000 6.625000 1321.327836
0.000000 6.626000 1321.316551
0.000000 6.627000 1323.247890
0.000000 6.628000 1326.716061
0.000000 6.629000 1330.998517
0.000000 6.630000 1335.202810
0.000000 6.631000 1338.453102
0.000000 6.632000 1340.071729
0.000000 6.633000 1339.710696
0.000000 6.634000 1337.419690
0.000000 6.635000 1333.631773
0.000000 6.636000 1329.081228
0.000000 6.637000 1324.638939
0.000000 6.638000 1321.155164
0.000000 6.639000 1319.283427
0.000000 6.640000 1319.359278
0.000000 6.641000 1321.338783
0.000000 6.642000 1324.815623
0.000000 6.643000 1329.105166
0.000000 6.644000 1333.397197
0.000000 6.645000 1336.914458
0.000000 6.646000 1339.058460
0.000000 6.647000 1339.525144
0.000000 6.648000 1338.349685
0.000000 6.649000 1335.883883
0.000000 6.650000 1332.705772
0.000000 6.651000 1329.486603
0.000000 6.652000 1326.850977
0.000000 6.653000 1325.241413
0.000000 6.654000 1324.831096
0.000000 6.655000 1325.498003
0.000000 6.656000 1326.871441
0.000000 6.657000 1328.427523
0.000000 6.658000 1329.618390
0.000000 6.659000 1330.005605
0.000000 6.660000 1329.366219
0.000000 6.661000 1327.751523
0.000000 6.662000 1325.478031
