# frequency_cm-1 spectrum_au
2.059752610098961156e+01 1.113722510616957600e+16
2.068091689492074536e+01 1.111842517730403800e+16
2.076430768885187561e+01 1.109938366162987400e+16
2.084769848278300941e+01 1.108013212674994000e+16
2.093108927671413966e+01 1.106070149227629600e+16
2.101448007064526990e+01 1.104112199092582600e+16
2.109787086457640370e+01 1.102142313302787600e+16
2.118126165850753395e+01 1.100163367333182000e+16
2.126465245243867130e+01 1.098178158090037400e+16
2.134804324636980155e+01 1.096189401168996800e+16
2.143143404030093180e+01 1.094199728368830400e+16
2.151482483423206560e+01 1.092211685446195400e+16
2.159821562816319584e+01 1.090227730112865600e+16
2.168160642209432964e+01 1.088250230276572000e+16
2.176499721602545989e+01 1.086281462486313800e+16
2.184838800995659014e+01 1.084323610576061800e+16
2.193177880388772394e+01 1.082378764510759800e+16
2.201516959781885419e+01 1.080448919418945400e+16
2.209856039174999154e+01 1.078535974795548600e+16
2.218195118568112179e+01 1.076641733843332800e+16
2.226534197961225203e+01 1.074767902998893000e+16
2.234873277354338583e+01 1.072916091558199000e+16
2.243212356747451608e+01 1.071087811453002800e+16
2.251551436140564988e+01 1.069284477133420400e+16
2.259890515533678013e+01 1.067507405564133400e+16
2.268229594926791037e+01 1.065757816297979800e+16
2.276568674319904417e+01 1.064036831658256200e+16
2.284907753713017442e+01 1.062345476995584200e+16
2.293246833106130822e+01 1.060684680999165000e+16
2.301585912499243847e+01 1.059055276089839600e+16
2.309924991892357582e+01 1.057457998869076200e+16
2.318264071285470607e+01 1.055893490593818800e+16
2.326603150678583631e+01 1.054362297737265600e+16
2.334942230071697011e+01 1.052864872538149400e+16
2.343281309464810036e+01 1.051401573627241600e+16
2.351620388857923416e+01 1.049972666680250600e+16
2.359959468251036441e+01 1.048578325054626400e+16
2.368298547644149465e+01 1.047218630516265600e+16
2.376637627037262845e+01 1.045893573925126800e+16
2.384976706430375870e+01 1.044603056004611400e+16
2.393315785823489605e+01 1.043346888075047000e+16
2.401654865216602630e+01 1.042124792841736200e+16
2.409993944609715655e+01 1.040936405200621400e+16
2.418333024002829035e+01 1.039781273033267400e+16
2.426672103395942059e+01 1.038658858087874000e+16
2.435011182789055439e+01 1.037568536806655200e+16
2.443350262182168464e+01 1.036509601252978400e+16
2.451689341575281489e+01 1.035481260016143800e+16
2.460028420968394869e+01 1.034482639173896200e+16
2.468367500361507894e+01 1.033512783295188200e+16
2.476706579754621629e+01 1.032570656466283200e+16
2.485045659147734654e+01 1.031655143385124000e+16
2.493384738540847678e+01 1.030765050496053200e+16
2.501723817933961058e+01 1.029899107169412800e+16
2.510062897327074083e+01 1.029055966970844800e+16
2.518401976720187463e+01 1.028234208983231800e+16
2.526741056113300488e+01 1.027432339209758800e+16
2.535080135506413868e+01 1.026648792043669000e+16
2.543419214899526892e+01 1.025881931849485400e+16
2.551758294292639917e+01 1.025130054624771400e+16
2.560097373685753652e+01 1.024391389774721600e+16
2.568436453078866677e+01 1.023664101972406000e+16
2.576775532471980057e+01 1.022946293171505800e+16
2.585114611865093082e+01 1.022236004707191400e+16
2.593453691258206106e+01 1.021531219550725800e+16
2.601792770651319486e+01 1.020829864678095600e+16
2.610131850044432511e+01 1.020129813606935800e+16
2.618470929437545891e+01 1.019428889049417200e+16
2.626810008830658916e+01 1.018724865751291000e+16
2.635149088223771940e+01 1.018015473450897200e+16
2.643488167616885320e+01 1.017298400038952600e+16
2.651827247009998700e+01 1.016571294853191200e+16
2.660166326403112080e+01 1.015831772162458200e+16
2.668505405796225105e+01 1.015077414792985400e+16
2.676844485189338130e+01 1.014305777969371600e+16
2.685183564582451510e+01 1.013514393276279200e+16
2.693522643975564534e+01 1.012700772841323200e+16
2.701861723368677914e+01 1.011862413642797200e+16
2.710200802761790939e+01 1.010996802010012200e+16
2.718539882154903964e+01 1.010101418290171200e+16
2.726878961548017344e+01 1.009173741637490400e+16
2.735218040941130369e+01 1.008211254993034200e+16
2.743557120334244104e+01 1.007211450187655000e+16
2.751896199727357128e+01 1.006171833168392200e+16
2.760235279120470153e+01 1.005089929371020800e+16
2.768574358513583533e+01 1.003963289171021000e+16
2.776913437906696558e+01 1.002789493465846600e+16
2.785252517299809938e+01 1.001566159306475000e+16
2.793591596692922963e+01 1.000290945620492000e+16
2.801930676086035987e+01 9.989615589573502000e+15
2.810269755479149367e+01 9.975757592846770000e+15
2.818608834872262392e+01 9.961313657845014000e+15
2.826947914265376127e+01 9.946262626328008000e+15
2.835286993658489152e+01 9.930584047511288000e+15
2.843626073051602532e+01 9.914258235056136000e+15
2.851965152444715557e+01 9.897266323105154000e+15
2.860304231837828581e+01 9.879590321430238000e+15
2.868643311230941961e+01 9.861213169234332000e+15
2.876982390624054986e+01 9.842118787335000000e+15
2.885321470017168366e+01 9.822292128642980000e+15
2.893660549410281391e+01 9.801719226562158000e+15
2.901999628803394415e+01 9.780387241160204000e+15
2.910338708196508151e+01 9.758284502685254000e+15
2.918677787589621175e+01 9.735400552341980000e+15
2.927016866982734555e+01 9.711726180194470000e+15
2.935355946375847580e+01 9.687253459728714000e+15
2.943695025768960605e+01 9.661975778894016000e+15
2.952034105162073985e+01 9.635887867896568000e+15
2.960373184555187009e+01 9.608985822673262000e+15
2.968712263948300389e+01 9.581267124986996000e+15
2.977051343341413414e+01 9.552730657938550000e+15
2.985390422734526439e+01 9.523376717560246000e+15
2.993729502127640174e+01 9.493207020224454000e+15
3.002068581520753199e+01 9.462224705255116000e+15
3.010407660913866579e+01 9.430434333510398000e+15
3.018746740306979603e+01 9.397841881408210000e+15
3.027085819700092628e+01 9.364454730543298000e+15
3.035424899093206008e+01 9.330281652765256000e+15
3.043763978486319033e+01 9.295332791174714000e+15
3.052103057879432413e+01 9.259619636464660000e+15
3.060442137272545438e+01 9.223154999639792000e+15
3.068781216665658818e+01 9.185952980108084000e+15
3.077120296058771842e+01 9.148028930265800000e+15
3.085459375451885222e+01 9.109399416200000000e+15
3.093798454844998602e+01 9.070082175173058000e+15
3.102137534238111627e+01 9.030096069186018000e+15
3.110476613631225007e+01 8.989461036081963000e+15
3.118815693024338032e+01 8.948198037557078000e+15
3.127154772417451056e+01 8.906329004570506000e+15
