# frequency_cm-1 spectrum_au
2.718539882154903964e+01 7.549369211944893000e+15
2.726878961548017344e+01 7.561508071622555000e+15
2.735218040941130369e+01 7.573465986322304000e+15
2.743557120334244104e+01 7.585222747056402000e+15
2.751896199727357128e+01 7.596758082779949000e+15
2.760235279120470153e+01 7.608051685465502000e+15
2.768574358513583533e+01 7.619083236248046000e+15
2.776913437906696558e+01 7.629832432685390000e+15
2.785252517299809938e+01 7.640279017200827000e+15
2.793591596692922963e+01 7.650402806429993000e+15
2.801930676086035987e+01 7.660183721611567000e+15
2.810269755479149367e+01 7.669601819878707000e+15
2.818608834872262392e+01 7.678637326354271000e+15
2.826947914265376127e+01 7.687270666999660000e+15
2.835286993658489152e+01 7.695482502149945000e+15
2.843626073051602532e+01 7.703253760604641000e+15
2.851965152444715557e+01 7.710565674168716000e+15
2.860304231837828581e+01 7.717399812594280000e+15
2.868643311230941961e+01 7.723738118712952000e+15
2.876982390624054986e+01 7.729562943769266000e+15
2.885321470017168366e+01 7.734857082660552000e+15
2.893660549410281391e+01 7.739603809188510000e+15
2.901999628803394415e+01 7.743786910895154000e+15
2.910338708196508151e+01 7.747390723668411000e+15
2.918677787589621175e+01 7.750400165708162000e+15
2.927016866982734555e+01 7.752800770816182000e+15
2.935355946375847580e+01 7.754578721037232000e+15
2.943695025768960605e+01 7.755720878114960000e+15
2.952034105162073985e+01 7.756214814066543000e+15
2.960373184555187009e+01 7.756048840422862000e+15
2.968712263948300389e+01 7.755212036152039000e+15
2.977051343341413414e+01 7.753694274041618000e+15
2.985390422734526439e+01 7.751486245533177000e+15
2.993729502127640174e+01 7.748579483830371000e+15
3.002068581520753199e+01 7.744966385031932000e+15
3.010407660913866579e+01 7.740640227423732000e+15
3.018746740306979603e+01 7.735595188684442000e+15
3.027085819700092628e+01 7.729826360928325000e+15
3.035424899093206008e+01 7.723329763485420000e+15
3.043763978486319033e+01 7.716102353449225000e+15
3.052103057879432413e+01 7.708142033810791000e+15
3.060442137272545438e+01 7.699447659212904000e+15
3.068781216665658818e+01 7.690019039206624000e+15
