# Energy tracking
# Output period: 100 steps
# Max timesteps: 29444
# timestep time(ps) kinetic_energy cavity_energy lj_energy temperature total_energy
23700 17.028244 0.267862 0.000113 -0.712644 112.547163 -0.444669
23800 17.147089 0.267413 0.000730 -0.725078 112.358542 -0.456935
23900 17.267628 0.272676 0.000069 -0.734893 114.569775 -0.462148
24000 17.386227 0.223932 0.000395 -0.718209 94.089056 -0.493882
24100 17.495241 0.279842 0.000755 -0.728062 117.580468 -0.447465
24200 17.615201 0.280939 0.000038 -0.731660 118.041769 -0.450683
24300 17.736539 0.270656 0.000777 -0.717208 113.720856 -0.445775
24400 17.854810 0.238887 0.000112 -0.714265 100.372618 -0.475266
24500 17.968516 0.253342 0.000756 -0.722823 106.446170 -0.468725
24600 18.085931 0.242040 0.000192 -0.730011 101.697358 -0.487779
24700 18.196385 0.262761 0.000385 -0.723018 110.403876 -0.459872
24800 18.314251 0.223791 0.000691 -0.723001 94.029624 -0.498519
24900 18.422925 0.260572 0.000587 -0.713653 109.484108 -0.452494
25000 18.542242 0.249558 0.000089 -0.728914 104.856121 -0.479268
25100 18.658094 0.276499 0.000083 -0.729752 116.176017 -0.453170
25200 18.779244 0.268577 0.000534 -0.721738 112.847663 -0.452626
25300 18.897393 0.251761 0.000051 -0.718623 105.781897 -0.466811
25400 19.015210 0.221749 0.000375 -0.717273 93.171777 -0.495149
25500 19.123105 0.233758 0.000367 -0.726208 98.217750 -0.492083
25600 19.233532 0.274292 0.000365 -0.723333 115.248769 -0.448676
25700 19.350635 0.248567 0.000321 -0.711064 104.439724 -0.462176
25800 19.466929 0.269839 0.000269 -0.706620 113.377730 -0.436513
25900 19.584784 0.251180 0.000122 -0.714141 105.537642 -0.462839
26000 19.702091 0.247874 0.000278 -0.706829 104.148859 -0.458676
26100 19.814358 0.271025 0.000300 -0.716951 113.875900 -0.445626
26200 19.932033 0.247717 0.000254 -0.718603 104.082772 -0.470632
